How comfortable did you feel when the robot approached you in this video? ,How friendly did the robot seem?,Did you feel like the robot was trying to engage with you in a positive way?  ,"Did the robot's wave, attentive and nod gestures make it feel more approachable? ",How relaxed or tensed you felt when robot approached you? 
Neutral,Friendly,Somewhat,Neutral,Tense
Neutral,Friendly,Somewhat,Slightly approachable,Tense
Uncomfortable,Friendly,Neutral,Slightly approachable,Neutral
Uncomfortable,Friendly,Slightly,Slightly approachable,Tense
Uncomfortable,Friendly,Somewhat,Approachable,Neutral
Comfortable,Friendly,Very much,Approachable,Relaxed
Uncomfortable,Friendly,Neutral,Approachable,Tense
Uncomfortable,Neutral,Somewhat,Slightly approachable,Neutral
Uncomfortable,Neutral,Slightly,Approachable,Very Tense
Neutral,Neutral,Somewhat,Slightly approachable,Tense
